window_start,src_ip,n_packets,pkt_rate,mean_ipd_ms,jitter_ms,rssi_mean_dbm,rssi_std_dbm,mean_pkt_len,std_pkt_len,ttl_mean,ttl_std,n_unique_src,n_unique_dst,dup_ip_id,label,node
1.0,10.42.0.2,82,16.4,60.635493827160495,117.12888964442709,16.0,0.0,185.4512195121951,73.59752955445666,64.0,0.0,2,3,1,0,wifi-phy-0-ZSPs-host-3-0
3.5,10.42.0.2,100,20.0,49.49838383838385,49.6332843939574,16.0,0.0,186.27,73.08523528156434,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
6.0,10.42.0.2,100,20.0,49.498222222222225,49.63313371707327,16.0,0.0,185.36,72.14666879476708,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
8.5,10.42.0.2,100,20.0,49.50048484848486,49.63541946576751,16.0,0.0,186.64,73.0484162122021,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
11.0,10.42.0.2,82,16.4,49.38424691358024,49.62928615430547,16.0,0.0,186.32926829268294,72.47069307667445,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
13.5,10.42.0.2,32,6.4,48.390580645161315,49.601699466706094,16.0,0.0,185.125,71.92099159673805,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
7.5,10.42.0.2,250,50.0,9.94858232931727,9.625249258038275,16.0,0.0,148.136,34.07205782599566,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
10.0,10.42.0.2,500,100.0,9.974342685370742,9.630671215909066,16.0,0.0,148.568,34.03872273294903,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
12.5,10.42.0.2,500,100.0,9.980689378757518,9.63598065066069,16.0,0.0,149.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
15.0,10.42.0.2,500,100.0,9.980689378757518,9.63598065066069,16.0,0.0,149.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
17.5,10.42.0.2,500,100.0,9.980689378757518,9.63598065066069,16.0,0.0,149.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
20.0,10.42.0.2,500,100.0,9.980689378757518,9.63598065066069,16.0,0.0,149.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
22.5,10.42.0.2,500,100.0,9.980689378757518,9.63598065066069,16.0,0.0,149.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
25.0,10.42.0.2,500,100.0,9.980705410821642,9.635996721513814,16.0,0.0,149.004,34.03410973201005,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
27.5,10.42.0.2,500,100.0,9.980705410821642,9.6359967215138,16.0,0.0,149.504,34.03773080327878,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
30.0,10.42.0.2,500,100.0,9.98068937875751,9.635980650660597,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
32.5,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
35.0,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
37.5,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
40.0,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
42.5,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
45.0,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
47.5,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
50.0,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
52.5,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
55.0,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
57.5,10.42.0.2,500,100.0,9.980689378757518,9.635980650660548,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
60.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650660677,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
62.5,10.42.0.2,500,100.0,9.980689378757534,9.63598065066096,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
65.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
67.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
70.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
72.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
75.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
77.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
80.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
82.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
85.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
87.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
90.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
92.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
95.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
97.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
